Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
44642.7709726,261544.84375,269312.34375,278604.40625,265851.46875,248472.90625,203594.625,253599.859375,231583.21875,-0.201171875,0.96435546875,-0.12158203125,0.8239745497703552,0.0610351525247097,0.6713866591453552,80.0,766690.0,1.0
44642.7710092,260611.875,266902.46875,276874.8125,263281.5625,246281.015625,202508.0625,252966.59375,230170.5,-0.20068359375,0.96484375,-0.11962890625,0.6713866591453552,0.03051757626235485,0.7324218153953552,80.0,766691.0,1.0
44642.7767873,259724.25,264392.375,275036.09375,260066.671875,244230.015625,201429.734375,252556.9375,228278.828125,-0.197998046875,0.96728515625,-0.122802734375,0.5187987685203552,-0.1525878757238388,0.7019042372703552,80.0,766692.0,1.0
44642.7836002,260082.140625,265218.3125,275585.03125,260587.203125,245107.984375,201828.125,252918.765625,228478.921875,-0.1982421875,0.968505859375,-0.121337890625,0.5798339247703552,-0.2136230319738388,0.7629393935203552,80.0,766693.0,1.0
44642.7836443,261198.75,268202.34375,277740.5625,264060.46875,247669.234375,203132.03125,253555.078125,230434.15625,-0.197265625,0.96826171875,-0.120849609375,0.3967284858226776,-0.1220703050494194,0.7934569716453552,80.0,766694.0,1.0
44642.7893131,261532.234375,269232.21875,278522.78125,265700.28125,248390.921875,203542.859375,253593.78125,231446.609375,-0.19580078125,0.968505859375,-0.120849609375,0.2441406100988388,-0.1220703050494194,0.8544921278953552,80.0,766695.0,1.0
44642.7985113,260595.515625,266833.875,276798.375,263147.5625,246206.625,202455.40625,252958.8125,230040.5,-0.194091796875,0.97021484375,-0.122314453125,0.0915527269244194,-0.0915527269244194,0.8239745497703552,80.0,766696.0,1.0
44642.7985609,259700.734375,264309.21875,274945.96875,259915.3125,244140.421875,201370.0,252545.75,228141.859375,-0.192138671875,0.969482421875,-0.120849609375,-0.03051757626235485,-0.03051757626235485,0.8850097060203552,80.0,766697.0,1.0
44642.8011317,260062.203125,265127.375,275493.84375,260426.453125,245016.53125,201774.578125,252917.59375,228347.578125,-0.19189453125,0.968017578125,-0.12060546875,-0.1525878757238388,0.1220703050494194,0.9460448622703552,80.0,766698.0,1.0
44642.8011758,261177.734375,268114.90625,277654.53125,263908.21875,247582.328125,203078.390625,253550.25,230304.15625,-0.19140625,0.966064453125,-0.123779296875,-0.2441406100988388,0.1525878757238388,1.0681151151657104,80.0,766699.0,1.0
44642.8092874,261519.71875,269170.1875,278456.09375,265577.71875,248327.09375,203499.859375,253590.296875,231337.265625,-0.195068359375,0.967529296875,-0.116455078125,-0.3356933295726776,0.2136230319738388,1.0375975370407104,80.0,766700.0,1.0
44642.8118969,260582.546875,266776.40625,276733.46875,263029.53125,246146.71875,202419.28125,252955.15625,229941.4375,-0.19189453125,0.964111328125,-0.119140625,-0.3356933295726776,0.2441406100988388,1.0681151151657104,80.0,766701.0,1.0
44642.8180497,259671.21875,264224.46875,274856.375,259753.296875,244051.28125,201322.171875,252532.53125,228017.9375,-0.1943359375,0.96533203125,-0.11962890625,-0.3662109076976776,0.2136230319738388,1.1291502714157104,80.0,766702.0,1.0
44642.8273968,260021.796875,265012.9375,275378.78125,260216.96875,244895.640625,201705.734375,252891.9375,228189.6875,-0.194580078125,0.965087890625,-0.11865234375,-0.3967284858226776,0.2136230319738388,1.2512205839157104,80.0,766703.0,1.0
44642.8274422,261153.6875,268011.65625,277551.8125,263715.0,247478.796875,203024.125,253544.4375,230161.203125,-0.19580078125,0.96337890625,-0.1201171875,-0.5187987685203552,0.2441406100988388,1.1596678495407104,80.0,766704.0,1.0
44642.8298821,261511.3125,269097.9375,278380.34375,265433.59375,248256.71875,203463.5625,253600.40625,231221.03125,-0.1982421875,0.95849609375,-0.117919921875,-0.5187987685203552,0.2746581733226776,1.0070799589157104,80.0,766705.0,1.0
44642.8299269,260570.296875,266712.75,276666.34375,262901.59375,246081.546875,202378.609375,252956.765625,229828.34375,-0.197998046875,0.9599609375,-0.117919921875,-0.5798339247703552,0.1831054538488388,0.9460448622703552,80.0,766706.0,1.0
44642.8355341,259657.546875,264151.6875,274783.5,259615.609375,243977.34375,201276.84375,252534.484375,227901.796875,-0.199951171875,0.9599609375,-0.119140625,-0.4882812201976776,0.0915527269244194,0.9155272841453552,80.0,766707.0,1.0
44642.8423944,259997.65625,264918.625,275288.125,260058.0,244803.921875,201649.046875,252888.0,228060.484375,-0.200439453125,0.95703125,-0.120361328125,-0.5493163466453552,0.0915527269244194,0.8850097060203552,80.0,766708.0,1.0
44642.8424385,261121.859375,267913.03125,277460.96875,263567.59375,247389.828125,202955.09375,253526.109375,230029.953125,-0.201171875,0.956298828125,-0.12060546875,-0.3662109076976776,0.03051757626235485,0.8239745497703552,80.0,766709.0,1.0
44642.8442885,261497.359375,269040.625,278322.15625,265345.78125,248204.875,203409.734375,253586.453125,231124.46875,-0.202392578125,0.957275390625,-0.123779296875,-0.2136230319738388,-0.1220703050494194,0.6408690810203552,80.0,766710.0,1.0
44642.8555361,260576.109375,266694.21875,276643.4375,262878.0625,246065.359375,202346.59375,252955.515625,229778.265625,-0.201171875,0.957275390625,-0.120849609375,-0.0915527269244194,-0.1831054538488388,0.5798339247703552,80.0,766711.0,1.0
